,initial_partition_approach,number_of_communities,initial modularity,modularity after fine-tuning and binary assigned,modularity after fine-tuning,COMBO modularity_not_restricted,COMBO modularity
celeganmetabolic_453.mat,LPA,74,0.2129949927330017,0.029166054,-0.006874328479170799,0.4514651083433376,0.48643226852002347
celegansneural_297.mat,LPA,3,0.012340426445007324,1.436274e-08,-0.00028041264158673584,0.507641752830326,0.48149634105085876
copperfield_112.mat,Louvain,7,0.30550865051903114,0.1351308,-0.0024491148069500923,0.2985079584775124,0.2985079584775124
email_1133.mat,Louvain,11,0.5736254829933469,0.21988076,-0.02449333295226097,0.5828014941810017,0.5827510119087104
jazz_198.mat,LPA,10,0.25300332903862,0.2789873,-0.1907002478837967,0.4444447104526879,0.452854509711654
karate_34.mat,Louvain,4,0.4197896120973044,0.3191979,-0.12508606910705566,0.41978961209730403,0.41978961209730403
lesmis_77.mat,Louvain,6,0.5666879833432481,0.19691241,-0.03182343393564224,0.566687983343249,0.566687983343249
polbooks_105.mat,Louvain,5,0.5269666445565376,0.44141835,-0.1022486761212349,0.5272365938060765,0.5272365938060765
USAir97_332.mat,LPA,54,0.06317272037267685,0.025028542,-0.007932591252028942,0.2147356510856881,0.7552637191058766
USairports_1858.mat,LPA,408,0.18115714192390442,0.08865866,-0.07554465532302856,0.2755243410438753,0.2755202783235524
