,initial_partition_approach,number_of_communities,initial modularity,modularity after fine-tuning and binary assigned,modularity after fine-tuning,COMBO modularity_not_restricted,COMBO modularity
celeganmetabolic_453.mat,LPA,74,0.2129949927330017,0.17838645,-0.05269755423069,0.4514651083433376,0.48643226852002347
celegansneural_297.mat,LPA,3,0.012340426445007324,0.016228333,-0.005692587699741125,0.507641752830326,0.48149634105085876
copperfield_112.mat,Louvain,7,0.30550865051903114,0.20697854,-0.07946306467056274,0.2985079584775124,0.2985079584775124
email_1133.mat,Louvain,11,0.5736254829933469,0.5071973,-0.14655494689941406,0.5828014941810017,0.5827510119087104
jazz_198.mat,LPA,10,0.25300332903862,0.27720746,-0.12311230599880219,0.4444447104526879,0.452854509711654
karate_34.mat,Louvain,4,0.4197896120973044,0.34278435,-0.08980096131563187,0.41978961209730403,0.41978961209730403
lesmis_77.mat,Louvain,6,0.5666879833432481,0.4281961,-0.13870196044445038,0.566687983343249,0.566687983343249
polbooks_105.mat,Louvain,5,0.5269666445565376,0.4461078,-0.23094892501831055,0.5272365938060765,0.5272365938060765
USAir97_332.mat,LPA,54,0.06317272037267685,0.052330397,-0.01379426009953022,0.2147356510856881,0.7552637191058766
USairports_1858.mat,LPA,408,0.18115714192390442,0.17011517,-0.09257437288761139,0.2755243410438753,0.2755202783235524
