,initial_partition_approach,number_of_communities,initial modularity,modularity after fine-tuning and binary assigned,modularity after fine-tuning,COMBO modularity_not_restricted,COMBO modularity
celeganmetabolic_453.mat,LPA,74,0.212995,0.212995,0.02158866822719574,0.4514651083433376,0.48643226852002347
celegansneural_297.mat,LPA,3,0.012340438,0.012340384,0.012315676547586918,0.507641752830326,0.48149634105085876
copperfield_112.mat,Louvain,7,0.30550864,0.30550864,0.3054773807525635,0.2985079584775124,0.2985079584775124
email_1133.mat,Louvain,11,0.57362545,0.5736255,0.5516272187232971,0.5828014941810017,0.5827510119087104
jazz_198.mat,LPA,10,0.25300336,0.27704266,0.2328968346118927,0.4444447104526879,0.452854509711654
karate_34.mat,Louvain,4,0.41978958,0.41978958,0.40491580963134766,0.41978961209730403,0.41978961209730403
lesmis_77.mat,Louvain,6,0.5471434,0.54714334,0.5471365451812744,0.566687983343249,0.566687983343249
polbooks_105.mat,Louvain,5,0.52696663,0.52696663,0.5105594992637634,0.5272365938060765,0.5272365938060765
USAir97_332.mat,LPA,54,0.063172735,0.06317274,0.010129820555448532,0.2147356510856881,0.7552637191058766
USairports_1858.mat,LPA,408,0.18115743,0.065207556,0.0037127621471881866,0.2755243410438753,0.2755202783235524
