1.0,2.0,3.0,4.0,5.0,6.0
9.369535109726712e-05,0.0001787114015314728,0.0003274768532719463,0.0016458723694086075,0.003355635330080986,0.001358355162665248
1.3310318536241539e-05,1.580959724378772e-05,3.270576780778356e-05,0.00025379605358466506,0.0006226580590009689,0.00031540432246401906
6.8544877649401315e-06,7.403334620903479e-06,1.546332350699231e-05,7.562879181932658e-05,0.00018907668709289283,1.5360681572929025e-05
5.1367987907724455e-06,1.5508913975281757e-06,5.434571903606411e-06,7.8933790064184e-06,2.0503794075921178e-05,4.848345270147547e-06
5.1140568757546134e-06,8.945965532802802e-07,4.9622067308519036e-06,9.196960490953643e-07,4.366180291981436e-06,4.869178155786358e-06
5.186091584619135e-06,8.417104027103051e-07,5.014776434109081e-06,8.820834977996128e-07,3.8526577554875985e-06,4.979047844244633e-06
5.258452802081592e-06,8.43584075482795e-07,5.0782691687345505e-06,9.027243095260928e-07,3.884770649165148e-06,5.092050741950516e-06
5.332288765202975e-06,8.508559403708205e-07,5.144177066540578e-06,9.136244898400037e-07,3.9349788494291715e-06,5.2106970542808995e-06
5.407689059211407e-06,8.585002433392219e-07,5.211435563978739e-06,9.232821298610361e-07,3.98779047827702e-06,5.3319135986384936e-06
5.48473144590389e-06,8.667651059113268e-07,5.280362529447302e-06,9.34203512770182e-07,4.0421891753794625e-06,5.456613507703878e-06
5.56344457436353e-06,8.750124038670037e-07,5.3506469157582615e-06,9.435682954972435e-07,4.098322278878186e-06,5.58657029614551e-06
5.643901204166468e-06,8.831356694827264e-07,5.422371486929478e-06,9.55346649789135e-07,4.154459475103067e-06,5.720003173337318e-06
5.726187737309374e-06,8.91786953616247e-07,5.495888217410538e-06,9.656421298132045e-07,4.213097781757824e-06,5.8580726545187645e-06
5.810343282064423e-06,9.004847925098147e-07,5.570988832914736e-06,9.78008529273211e-07,4.272329533705488e-06,6.000776920700446e-06
5.896425591345178e-06,9.095408586290432e-07,5.6479175327694975e-06,9.890864021144807e-07,4.333705874159932e-06,6.148904503788799e-06
5.984516064927448e-06,9.187198202198488e-07,5.726575182052329e-06,1.0015714906330686e-06,4.399509180075256e-06,6.299271262832917e-06
6.07468064117711e-06,9.279978030463099e-07,5.8069849728781264e-06,1.0130873988600797e-06,4.468043698580004e-06,6.4575924625387415e-06
