1,2,3,4,5,6
3.34E-06,3.43E-07,2.17E-06,4.67E-07,3.63E-06,4.03E-06
3.34E-06,3.43E-07,2.18E-06,4.68E-07,3.64E-06,4.03E-06
3.34E-06,3.44E-07,2.18E-06,4.69E-07,3.64E-06,4.04E-06
3.34E-06,3.44E-07,2.18E-06,4.70E-07,3.64E-06,4.04E-06
3.35E-06,3.44E-07,2.18E-06,4.70E-07,3.65E-06,4.05E-06
3.35E-06,3.44E-07,2.18E-06,4.71E-07,3.65E-06,4.05E-06
3.35E-06,3.45E-07,2.19E-06,4.70E-07,3.65E-06,4.06E-06
3.36E-06,3.45E-07,2.19E-06,4.70E-07,3.66E-06,4.07E-06
3.36E-06,3.45E-07,2.19E-06,4.70E-07,3.66E-06,4.07E-06
3.36E-06,3.45E-07,2.19E-06,4.70E-07,3.66E-06,4.07E-06
3.37E-06,3.45E-07,2.19E-06,4.69E-07,3.67E-06,4.08E-06
3.37E-06,3.46E-07,2.20E-06,4.69E-07,3.67E-06,4.08E-06
3.37E-06,3.46E-07,2.20E-06,4.69E-07,3.67E-06,4.09E-06
3.38E-06,3.46E-07,2.20E-06,4.69E-07,3.68E-06,4.09E-06
3.38E-06,3.46E-07,2.20E-06,4.68E-07,3.68E-06,4.10E-06
3.38E-06,3.46E-07,2.20E-06,4.68E-07,3.68E-06,4.11E-06
3.39E-06,3.47E-07,2.21E-06,4.68E-07,3.69E-06,4.11E-06
3.39E-06,3.47E-07,2.21E-06,4.69E-07,3.69E-06,4.11E-06
3.39E-06,3.47E-07,2.21E-06,4.69E-07,3.69E-06,4.12E-06
3.40E-06,3.48E-07,2.21E-06,4.70E-07,3.70E-06,4.12E-06
3.40E-06,3.48E-07,2.21E-06,4.70E-07,3.70E-06,4.13E-06
3.40E-06,3.48E-07,2.22E-06,4.71E-07,3.70E-06,4.14E-06
3.41E-06,3.49E-07,2.22E-06,4.72E-07,3.71E-06,4.14E-06
3.41E-06,3.49E-07,2.22E-06,4.73E-07,3.71E-06,4.15E-06
3.41E-06,3.49E-07,2.22E-06,4.74E-07,3.71E-06,4.15E-06
3.42E-06,3.50E-07,2.22E-06,4.75E-07,3.72E-06,4.16E-06
3.42E-06,3.50E-07,2.23E-06,4.76E-07,3.72E-06,4.16E-06
3.42E-06,3.50E-07,2.23E-06,4.77E-07,3.72E-06,4.17E-06
3.43E-06,3.51E-07,2.23E-06,4.78E-07,3.73E-06,4.17E-06
3.43E-06,3.51E-07,2.23E-06,4.79E-07,3.73E-06,4.18E-06
3.44E-06,3.51E-07,2.23E-06,4.80E-07,3.73E-06,4.18E-06
3.44E-06,3.52E-07,2.24E-06,4.81E-07,3.74E-06,4.19E-06
3.44E-06,3.52E-07,2.24E-06,4.82E-07,3.74E-06,4.19E-06
3.45E-06,3.53E-07,2.24E-06,4.83E-07,3.74E-06,4.20E-06
3.45E-06,3.53E-07,2.24E-06,4.84E-07,3.75E-06,4.21E-06
3.45E-06,3.53E-07,2.24E-06,4.85E-07,3.75E-06,4.21E-06
3.46E-06,3.53E-07,2.25E-06,4.85E-07,3.75E-06,4.22E-06
3.46E-06,3.54E-07,2.25E-06,4.85E-07,3.76E-06,4.22E-06
3.46E-06,3.54E-07,2.25E-06,4.86E-07,3.76E-06,4.23E-06
3.47E-06,3.54E-07,2.25E-06,4.86E-07,3.76E-06,4.23E-06
3.47E-06,3.55E-07,2.26E-06,4.87E-07,3.77E-06,4.24E-06
3.47E-06,3.55E-07,2.26E-06,4.87E-07,3.77E-06,4.24E-06
3.48E-06,3.55E-07,2.26E-06,4.88E-07,3.77E-06,4.25E-06
